Southwest Climate Region, Maximum Temperature, 60-Month Period Ending in October
Units: Degrees Fahrenheit
Missing: -99
Date,Value
190010,64.7
190110,65.0
190210,65.5
190310,65.3
190410,65.7
190510,65.3
190610,64.8
190710,64.6
190810,64.8
190910,64.5
191010,65.0
191110,65.4
191210,64.9
191310,64.6
191410,64.6
191510,64.0
191610,64.0
191710,64.1
191810,64.7
191910,64.4
192010,64.4
192110,64.4
192210,64.9
192310,64.4
192410,64.7
192510,65.1
192610,65.0
192710,64.9
192810,65.3
192910,65.1
193010,65.1
193110,65.1
193210,64.8
193310,64.6
193410,65.9
193510,66.0
193610,66.1
193710,66.4
193810,66.6
193910,65.7
194010,66.0
194110,65.4
194210,65.4
194310,65.7
194410,65.6
194510,65.2
194610,65.8
194710,66.1
194810,65.5
194910,65.3
195010,65.7
195110,65.8
195210,65.6
195310,65.8
195410,66.6
195510,66.3
195610,66.4
195710,66.3
195810,66.2
195910,66.0
196010,66.1
196110,65.7
196210,65.8
196310,66.1
196410,65.7
196510,65.4
196610,65.4
196710,65.7
196810,65.2
196910,65.2
197010,65.4
197110,65.3
197210,65.3
197310,65.0
197410,65.2
197510,65.0
197610,65.0
197710,65.1
197810,65.8
197910,65.4
198010,65.7
198110,66.1
198210,65.9
198310,65.4
198410,65.4
198510,65.3
198610,65.0
198710,65.1
198810,65.4
198910,66.0
199010,66.3
199110,66.1
199210,66.2
199310,65.9
199410,66.0
199510,65.8
199610,66.4
199710,66.5
199810,66.7
199910,66.7
200010,67.4
200110,67.1
200210,67.5
200310,68.0
200410,67.9
200510,67.3
200610,67.4
200710,67.4
200810,67.0
200910,67.2
201010,67.1
201110,67.1
201210,67.3
201310,67.3
201410,67.4
201510,67.7
201610,67.8
201710,67.7
201810,68.3
201910,68.0
202010,68.2
202110,68.3
202210,68.3
