Florida, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,69.1,0.2
198002,66.5,-4.4
198003,76.7,1.2
198004,80.2,-1.0
198005,85.8,-0.8
198006,90.6,0.7
198007,92.6,1.9
198008,92.2,1.5
198009,90.5,2.1
198010,82.8,0.3
198011,74.4,-0.8
198012,67.8,-2.1
198101,63.2,-5.7
198102,71.2,0.3
198103,74.0,-1.5
198104,84.0,2.8
198105,87.0,0.4
198106,93.2,3.3
198107,93.3,2.6
198108,89.8,-0.9
198109,88.2,-0.2
198110,83.8,1.3
198111,75.3,0.1
198112,68.9,-1.0
198201,69.9,1.0
198202,75.8,4.9
198203,78.1,2.6
198204,81.1,-0.1
198205,85.7,-0.9
198206,90.0,0.1
198207,90.6,-0.1
198208,90.5,-0.2
198209,87.6,-0.8
198210,82.0,-0.5
198211,77.7,2.5
198212,73.7,3.8
198301,65.7,-3.2
198302,67.9,-3.0
198303,71.6,-3.9
198304,77.9,-3.3
198305,85.8,-0.8
198306,88.3,-1.6
198307,92.4,1.7
198308,91.9,1.2
198309,87.3,-1.1
198310,83.3,0.8
198311,74.7,-0.5
198312,68.8,-1.1
198401,65.9,-3.0
198402,71.2,0.3
198403,75.3,-0.2
198404,79.6,-1.6
198405,86.0,-0.6
198406,89.0,-0.9
198407,89.4,-1.3
198408,90.7,0.0
198409,87.6,-0.8
198410,84.8,2.3
198411,74.4,-0.8
198412,75.8,5.9
198501,65.4,-3.5
198502,72.1,1.2
198503,78.9,3.4
198504,81.2,0.0
198505,88.0,1.4
198506,91.4,1.5
198507,90.2,-0.5
198508,90.1,-0.6
198509,87.7,-0.7
198510,86.2,3.7
198511,80.2,5.0
198512,68.1,-1.8
198601,68.0,-0.9
198602,74.0,3.1
198603,75.0,-0.5
198604,81.6,0.4
198605,87.2,0.6
198606,90.8,0.9
198607,92.1,1.4
198608,90.7,0.0
198609,89.9,1.5
198610,84.2,1.7
198611,80.9,5.7
198612,71.3,1.4
198701,67.4,-1.5
198702,70.3,-0.6
198703,74.0,-1.5
198704,78.2,-3.0
198705,86.2,-0.4
198706,90.7,0.8
198707,92.4,1.7
198708,92.7,2.0
198709,89.3,0.9
198710,80.0,-2.5
